Type,Year,Qtr,Order Type,Proceeding_type,Petitioners_Gender,Children_Involved,Contested,Count
Petitions,2007,1,n/a,Judicial separation,Male,No,,21
Petitions,2007,1,n/a,Judicial separation,Male,Yes,,15
Petitions,2007,1,n/a,Nullity of marriage,Female,No,,30
Petitions,2007,1,n/a,Nullity of marriage,Female,Yes,,11
Petitions,2007,1,n/a,Nullity of marriage,Male,No,,26
Petitions,2007,1,n/a,Nullity of marriage,Male,Yes,,4
Petitions,2007,2,n/a,Dissolution of marriage,Female,No,,9863
Petitions,2007,2,n/a,Dissolution of marriage,Female,Yes,,14323
Petitions,2007,2,n/a,Dissolution of marriage,Male,No,,5937
Petitions,2007,2,n/a,Dissolution of marriage,Male,Yes,,5299
Petitions,2007,2,n/a,Dissolution of marriage,Unknown/Unspecified,No,,29
Petitions,2007,2,n/a,Judicial separation,Female,No,,55
Petitions,2007,2,n/a,Judicial separation,Female,Yes,,50
Petitions,2007,2,n/a,Judicial separation,Male,No,,21
Petitions,2007,2,n/a,Judicial separation,Male,Yes,,11
Petitions,2007,2,n/a,Judicial separation,Unknown/Unspecified,No,,1
Petitions,2007,2,n/a,Nullity of marriage,Female,No,,40
Petitions,2007,2,n/a,Nullity of marriage,Female,Yes,,13
Petitions,2007,2,n/a,Nullity of marriage,Male,No,,37
Petitions,2007,2,n/a,Nullity of marriage,Male,Yes,,3
Petitions,2007,3,n/a,Dissolution of marriage,Female,No,,10078
Petitions,2007,3,n/a,Dissolution of marriage,Female,Yes,,14385
Petitions,2007,3,n/a,Dissolution of marriage,Male,No,,5968
Petitions,2007,3,n/a,Dissolution of marriage,Male,Yes,,5321
Petitions,2007,3,n/a,Dissolution of marriage,Unknown/Unspecified,No,,32
Petitions,2007,3,n/a,Judicial separation,Female,No,,47
Petitions,2007,3,n/a,Judicial separation,Female,Yes,,63
Petitions,2007,3,n/a,Judicial separation,Male,No,,18
Petitions,2007,3,n/a,Judicial separation,Male,Yes,,8
Petitions,2007,3,n/a,Nullity of marriage,Female,No,,44
Petitions,2007,3,n/a,Nullity of marriage,Female,Yes,,7
Petitions,2007,3,n/a,Nullity of marriage,Male,No,,37
Petitions,2007,3,n/a,Nullity of marriage,Male,Yes,,6
Petitions,2007,4,n/a,Dissolution of marriage,Female,No,,8008
Petitions,2007,4,n/a,Dissolution of marriage,Female,Yes,,9405
Petitions,2007,4,n/a,Dissolution of marriage,Male,No,,5258
Petitions,2007,4,n/a,Dissolution of marriage,Male,Yes,,4203
Petitions,2007,4,n/a,Dissolution of marriage,Unknown/Unspecified,No,,24
Petitions,2007,4,n/a,Judicial separation,Female,No,,34
Petitions,2007,4,n/a,Judicial separation,Female,Yes,,29
Petitions,2007,4,n/a,Judicial separation,Male,No,,15
Petitions,2007,4,n/a,Judicial separation,Male,Yes,,3
Petitions,2007,4,n/a,Judicial separation,Unknown/Unspecified,No,,1
Petitions,2007,4,n/a,Nullity of marriage,Female,No,,40
Petitions,2007,4,n/a,Nullity of marriage,Female,Yes,,6
Petitions,2007,4,n/a,Nullity of marriage,Male,No,,29
Petitions,2007,4,n/a,Nullity of marriage,Male,Yes,,3
Petitions,2008,1,n/a,Dissolution of marriage,Female,No,,9310
Petitions,2008,1,n/a,Dissolution of marriage,Female,Yes,,12455
Petitions,2008,1,n/a,Dissolution of marriage,Male,No,,6137
Petitions,2008,1,n/a,Dissolution of marriage,Male,Yes,,4964
Petitions,2008,1,n/a,Dissolution of marriage,Unknown/Unspecified,No,,32
Petitions,2008,1,n/a,Dissolution of marriage,Unknown/Unspecified,Yes,,1
Petitions,2008,1,n/a,Judicial separation,Female,No,,50
Petitions,2008,1,n/a,Judicial separation,Female,Yes,,36
Petitions,2008,1,n/a,Judicial separation,Male,No,,19
Petitions,2008,1,n/a,Judicial separation,Male,Yes,,6
Petitions,2008,1,n/a,Nullity of marriage,Female,No,,42
Petitions,2008,1,n/a,Nullity of marriage,Female,Yes,,5
Petitions,2008,1,n/a,Nullity of marriage,Male,No,,19
Petitions,2008,1,n/a,Nullity of marriage,Male,Yes,,3
Petitions,2008,2,n/a,Dissolution of marriage,Female,No,,9407
Petitions,2008,2,n/a,Dissolution of marriage,Female,Yes,,12855
Petitions,2008,2,n/a,Dissolution of marriage,Male,No,,6084
Petitions,2008,2,n/a,Dissolution of marriage,Male,Yes,,5075
Petitions,2008,2,n/a,Dissolution of marriage,Unknown/Unspecified,No,,34
Petitions,2008,2,n/a,Dissolution of marriage,Unknown/Unspecified,Yes,,1
Petitions,2008,2,n/a,Judicial separation,Female,No,,43
Petitions,2008,2,n/a,Judicial separation,Female,Yes,,48
Petitions,2008,2,n/a,Judicial separation,Male,No,,9
Petitions,2008,2,n/a,Judicial separation,Male,Yes,,8
Petitions,2008,2,n/a,Nullity of marriage,Female,No,,38
Petitions,2008,2,n/a,Nullity of marriage,Female,Yes,,12
Petitions,2008,2,n/a,Nullity of marriage,Male,No,,27
Petitions,2008,2,n/a,Nullity of marriage,Male,Yes,,4
Petitions,2008,3,n/a,Dissolution of marriage,Female,No,,9391
Petitions,2008,3,n/a,Dissolution of marriage,Female,Yes,,12280
Petitions,2008,3,n/a,Dissolution of marriage,Male,No,,5928
Petitions,2008,3,n/a,Dissolution of marriage,Male,Yes,,4899
Petitions,2008,3,n/a,Dissolution of marriage,Unknown/Unspecified,No,,31
Petitions,2008,3,n/a,Dissolution of marriage,Unknown/Unspecified,Yes,,1
Petitions,2008,3,n/a,Judicial separation,Female,No,,51
Petitions,2008,3,n/a,Judicial separation,Female,Yes,,34
Petitions,2008,3,n/a,Judicial separation,Male,No,,12
Petitions,2008,3,n/a,Judicial separation,Male,Yes,,10
Petitions,2008,3,n/a,Nullity of marriage,Female,No,,48
Petitions,2008,3,n/a,Nullity of marriage,Female,Yes,,12
Petitions,2008,3,n/a,Nullity of marriage,Male,No,,32
Petitions,2008,3,n/a,Nullity of marriage,Male,Yes,,9
Petitions,2008,4,n/a,Dissolution of marriage,Female,No,,8279
Petitions,2008,4,n/a,Dissolution of marriage,Female,Yes,,11639
Petitions,2008,4,n/a,Dissolution of marriage,Male,No,,5408
Petitions,2008,4,n/a,Dissolution of marriage,Male,Yes,,4631
Petitions,2008,4,n/a,Dissolution of marriage,Unknown/Unspecified,No,,22
Petitions,2008,4,n/a,Judicial separation,Female,No,,33
Petitions,2008,4,n/a,Judicial separation,Female,Yes,,37
Petitions,2008,4,n/a,Judicial separation,Male,No,,17
Petitions,2008,4,n/a,Judicial separation,Male,Yes,,8
Petitions,2008,4,n/a,Nullity of marriage,Female,No,,37
Petitions,2008,4,n/a,Nullity of marriage,Female,Yes,,4
Petitions,2008,4,n/a,Nullity of marriage,Male,No,,36
Petitions,2008,4,n/a,Nullity of marriage,Male,Yes,,4
Petitions,2009,1,n/a,Dissolution of marriage,Female,No,,8988
Petitions,2009,1,n/a,Dissolution of marriage,Female,Yes,,12662
Petitions,2009,1,n/a,Dissolution of marriage,Male,No,,5982
Petitions,2009,1,n/a,Dissolution of marriage,Male,Yes,,4979
Petitions,2009,1,n/a,Dissolution of marriage,Unknown/Unspecified,No,,24
Petitions,2009,1,n/a,Dissolution of marriage,Unknown/Unspecified,Yes,,1
Petitions,2009,1,n/a,Judicial separation,Female,No,,30
Petitions,2009,1,n/a,Judicial separation,Female,Yes,,31
Petitions,2009,1,n/a,Judicial separation,Male,No,,19
Petitions,2009,1,n/a,Judicial separation,Male,Yes,,6
Petitions,2009,1,n/a,Judicial separation,Unknown/Unspecified,No,,1
Petitions,2009,1,n/a,Nullity of marriage,Female,No,,40
Petitions,2009,1,n/a,Nullity of marriage,Female,Yes,,6
Petitions,2009,1,n/a,Nullity of marriage,Male,No,,30
Petitions,2009,1,n/a,Nullity of marriage,Male,Yes,,4
Petitions,2009,1,n/a,Nullity of marriage,Unknown/Unspecified,No,,1
Petitions,2009,2,n/a,Dissolution of marriage,Female,No,,9063
Petitions,2009,2,n/a,Dissolution of marriage,Female,Yes,,12454
Petitions,2009,2,n/a,Dissolution of marriage,Male,No,,5873
Petitions,2009,2,n/a,Dissolution of marriage,Male,Yes,,5138
Petitions,2009,2,n/a,Dissolution of marriage,Unknown/Unspecified,No,,30
Petitions,2009,2,n/a,Dissolution of marriage,Unknown/Unspecified,Yes,,2
Petitions,2009,2,n/a,Judicial separation,Female,No,,47
Petitions,2009,2,n/a,Judicial separation,Female,Yes,,36
Petitions,2009,2,n/a,Judicial separation,Male,No,,15
Petitions,2009,2,n/a,Judicial separation,Male,Yes,,5
Petitions,2009,2,n/a,Judicial separation,Unknown/Unspecified,No,,1
Petitions,2009,2,n/a,Nullity of marriage,Female,No,,43
Petitions,2009,2,n/a,Nullity of marriage,Female,Yes,,8
Petitions,2009,2,n/a,Nullity of marriage,Male,No,,17
Petitions,2009,2,n/a,Nullity of marriage,Male,Yes,,5
Petitions,2009,3,n/a,Dissolution of marriage,Female,No,,9825
Petitions,2009,3,n/a,Dissolution of marriage,Female,Yes,,13199
Petitions,2009,3,n/a,Dissolution of marriage,Male,No,,6145
Petitions,2009,3,n/a,Dissolution of marriage,Male,Yes,,5273
Petitions,2009,3,n/a,Dissolution of marriage,Unknown/Unspecified,No,,30
Petitions,2009,3,n/a,Dissolution of marriage,Unknown/Unspecified,Yes,,5
Petitions,2009,3,n/a,Judicial separation,Female,No,,30
Petitions,2009,3,n/a,Judicial separation,Female,Yes,,28
Petitions,2009,3,n/a,Judicial separation,Male,No,,16
Petitions,2009,3,n/a,Judicial separation,Male,Yes,,8
Petitions,2009,3,n/a,Nullity of marriage,Female,No,,35
Petitions,2009,3,n/a,Nullity of marriage,Female,Yes,,5
Petitions,2009,3,n/a,Nullity of marriage,Male,No,,27
Petitions,2009,3,n/a,Nullity of marriage,Male,Yes,,3
Petitions,2009,4,n/a,Dissolution of marriage,Female,No,,9014
Petitions,2009,4,n/a,Dissolution of marriage,Female,Yes,,12616
Petitions,2009,4,n/a,Dissolution of marriage,Male,No,,5709
Petitions,2009,4,n/a,Dissolution of marriage,Male,Yes,,5104
Petitions,2009,4,n/a,Dissolution of marriage,Unknown/Unspecified,No,,32
Petitions,2009,4,n/a,Dissolution of marriage,Unknown/Unspecified,Yes,,1
Petitions,2009,4,n/a,Judicial separation,Female,No,,32
Petitions,2009,4,n/a,Judicial separation,Female,Yes,,38
Petitions,2009,4,n/a,Judicial separation,Male,No,,11
Petitions,2009,4,n/a,Judicial separation,Male,Yes,,8
Petitions,2009,4,n/a,Nullity of marriage,Female,No,,25
Petitions,2009,4,n/a,Nullity of marriage,Female,Yes,,12
Petitions,2009,4,n/a,Nullity of marriage,Male,No,,26
Petitions,2009,4,n/a,Nullity of marriage,Male,Yes,,4
Petitions,2010,1,n/a,Dissolution of marriage,Female,No,,9759
Petitions,2010,1,n/a,Dissolution of marriage,Female,Yes,,12886
Petitions,2010,1,n/a,Dissolution of marriage,Male,No,,6513
Petitions,2010,1,n/a,Dissolution of marriage,Male,Yes,,5385
Petitions,2010,1,n/a,Dissolution of marriage,Unknown/Unspecified,No,,43
Petitions,2010,1,n/a,Dissolution of marriage,Unknown/Unspecified,Yes,,3
Petitions,2010,1,n/a,Judicial separation,Female,No,,20
Petitions,2010,1,n/a,Judicial separation,Female,Yes,,32
Petitions,2010,1,n/a,Judicial separation,Male,No,,13
Petitions,2010,1,n/a,Judicial separation,Male,Yes,,10
Petitions,2010,1,n/a,Nullity of marriage,Female,No,,27
